"Employee_ID","Job_Role","Stress_Level","Productivity_Change","Social_Isolation_Rating"
"EMP0008","Data Scientist","Medium","Decrease","5"
"EMP0020","Software Engineer","Medium","Decrease","4"
"EMP0022","Sales","Medium","Decrease","3"
"EMP0032","Marketing","Medium","Decrease","3"
"EMP0033","Project Manager","Medium","Decrease","5"
"EMP0055","Software Engineer","Medium","Decrease","4"
"EMP0100","Project Manager","Medium","Decrease","3"
"EMP0107","HR","Medium","Decrease","4"
"EMP0146","Marketing","Medium","Decrease","4"
"EMP0172","Data Scientist","Medium","Decrease","3"
"EMP0178","Project Manager","Medium","Decrease","3"
"EMP0180","HR","Medium","Decrease","3"
"EMP0181","Data Scientist","Medium","Decrease","5"
"EMP0187","HR","Medium","Decrease","5"
"EMP0194","Sales","Medium","Decrease","5"
"EMP0196","Sales","Medium","Decrease","5"
"EMP0229","Marketing","Medium","Decrease","3"
"EMP0243","Project Manager","Medium","Decrease","5"
"EMP0249","HR","Medium","Decrease","5"
"EMP0256","Project Manager","Medium","Decrease","5"
"EMP0258","Designer","Medium","Decrease","3"
"EMP0264","Project Manager","Medium","Decrease","3"
"EMP0267","Project Manager","Medium","Decrease","3"
"EMP0268","HR","Medium","Decrease","5"
"EMP0283","Data Scientist","Medium","Decrease","5"
"EMP0301","Designer","Medium","Decrease","5"
"EMP0302","HR","Medium","Decrease","4"
"EMP0305","Project Manager","Medium","Decrease","5"
"EMP0333","Software Engineer","Medium","Decrease","5"
"EMP0350","HR","Medium","Decrease","4"
"EMP0354","Data Scientist","Medium","Decrease","5"
"EMP0358","Designer","Medium","Decrease","4"
"EMP0360","HR","Medium","Decrease","4"
"EMP0412","Designer","Medium","Decrease","5"
"EMP0414","Project Manager","Medium","Decrease","3"
"EMP0421","HR","Medium","Decrease","4"
"EMP0438","Project Manager","Medium","Decrease","5"
"EMP0440","Software Engineer","Medium","Decrease","3"
"EMP0454","Marketing","Medium","Decrease","5"
"EMP0468","Project Manager","Medium","Decrease","5"
"EMP0473","Designer","Medium","Decrease","5"
"EMP0482","Sales","Medium","Decrease","3"
"EMP0495","Software Engineer","Medium","Decrease","5"
"EMP0515","Project Manager","Medium","Decrease","4"
"EMP0524","Project Manager","Medium","Decrease","4"
"EMP0574","Marketing","Medium","Decrease","4"
"EMP0576","Project Manager","Medium","Decrease","4"
"EMP0582","Marketing","Medium","Decrease","4"
"EMP0584","HR","Medium","Decrease","4"
"EMP0589","Designer","Medium","Decrease","4"
"EMP0612","HR","Medium","Decrease","4"
"EMP0613","Marketing","Medium","Decrease","3"
"EMP0627","Software Engineer","Medium","Decrease","3"
"EMP0645","Sales","Medium","Decrease","3"
"EMP0652","HR","Medium","Decrease","4"
"EMP0657","Software Engineer","Medium","Decrease","3"
"EMP0690","Software Engineer","Medium","Decrease","4"
"EMP0697","HR","Medium","Decrease","3"
"EMP0708","Project Manager","Medium","Decrease","3"
"EMP0730","Project Manager","Medium","Decrease","3"
"EMP0764","Software Engineer","Medium","Decrease","3"
"EMP0765","Software Engineer","Medium","Decrease","3"
"EMP0778","Marketing","Medium","Decrease","4"
"EMP0801","Marketing","Medium","Decrease","5"
"EMP0816","Software Engineer","Medium","Decrease","3"
"EMP0819","Marketing","Medium","Decrease","3"
"EMP0830","Marketing","Medium","Decrease","3"
"EMP0907","Designer","Medium","Decrease","5"
"EMP0915","Designer","Medium","Decrease","3"
"EMP0928","Sales","Medium","Decrease","3"
"EMP0935","Software Engineer","Medium","Decrease","4"
"EMP0942","HR","Medium","Decrease","5"
"EMP0971","Software Engineer","Medium","Decrease","4"
"EMP0991","Software Engineer","Medium","Decrease","5"
"EMP1004","HR","Medium","Decrease","4"
"EMP1011","Sales","Medium","Decrease","4"
"EMP1018","Designer","Medium","Decrease","5"
"EMP1031","HR","Medium","Decrease","3"
"EMP1033","Designer","Medium","Decrease","4"
"EMP1067","Project Manager","Medium","Decrease","5"
"EMP1096","HR","Medium","Decrease","4"
"EMP1113","Data Scientist","Medium","Decrease","4"
"EMP1120","Sales","Medium","Decrease","5"
"EMP1123","Marketing","Medium","Decrease","3"
"EMP1125","Project Manager","Medium","Decrease","4"
"EMP1128","Sales","Medium","Decrease","4"
"EMP1148","Designer","Medium","Decrease","4"
"EMP1167","Project Manager","Medium","Decrease","4"
"EMP1173","HR","Medium","Decrease","5"
"EMP1174","Designer","Medium","Decrease","4"
"EMP1192","Designer","Medium","Decrease","4"
"EMP1203","Software Engineer","Medium","Decrease","3"
"EMP1208","Sales","Medium","Decrease","4"
"EMP1211","HR","Medium","Decrease","5"
"EMP1228","Data Scientist","Medium","Decrease","3"
"EMP1243","Data Scientist","Medium","Decrease","5"
"EMP1274","Project Manager","Medium","Decrease","4"
"EMP1281","Data Scientist","Medium","Decrease","4"
"EMP1302","Project Manager","Medium","Decrease","5"
"EMP1324","Marketing","Medium","Decrease","5"
"EMP1353","Project Manager","Medium","Decrease","3"
"EMP1360","HR","Medium","Decrease","4"
"EMP1364","HR","Medium","Decrease","5"
"EMP1369","Marketing","Medium","Decrease","5"
"EMP1392","Sales","Medium","Decrease","5"
"EMP1457","Project Manager","Medium","Decrease","4"
"EMP1468","Data Scientist","Medium","Decrease","4"
"EMP1474","Software Engineer","Medium","Decrease","3"
"EMP1489","Marketing","Medium","Decrease","3"
"EMP1495","Data Scientist","Medium","Decrease","5"
"EMP1528","Designer","Medium","Decrease","5"
"EMP1564","Data Scientist","Medium","Decrease","3"
"EMP1568","Project Manager","Medium","Decrease","4"
"EMP1570","Sales","Medium","Decrease","5"
"EMP1583","Software Engineer","Medium","Decrease","4"
"EMP1585","Marketing","Medium","Decrease","3"
"EMP1586","Designer","Medium","Decrease","5"
"EMP1611","Project Manager","Medium","Decrease","5"
"EMP1627","Designer","Medium","Decrease","3"
"EMP1640","Software Engineer","Medium","Decrease","4"
"EMP1657","Software Engineer","Medium","Decrease","5"
"EMP1667","Software Engineer","Medium","Decrease","5"
"EMP1686","Software Engineer","Medium","Decrease","5"
"EMP1688","Sales","Medium","Decrease","5"
"EMP1691","Software Engineer","Medium","Decrease","5"
"EMP1708","Software Engineer","Medium","Decrease","5"
"EMP1714","Software Engineer","Medium","Decrease","4"
"EMP1725","Software Engineer","Medium","Decrease","5"
"EMP1728","Project Manager","Medium","Decrease","4"
"EMP1765","Software Engineer","Medium","Decrease","4"
"EMP1788","Software Engineer","Medium","Decrease","5"
"EMP1822","Software Engineer","Medium","Decrease","3"
"EMP1827","Designer","Medium","Decrease","3"
"EMP1832","Marketing","Medium","Decrease","4"
"EMP1843","Software Engineer","Medium","Decrease","3"
"EMP1886","Sales","Medium","Decrease","4"
"EMP1889","Software Engineer","Medium","Decrease","4"
"EMP1924","Data Scientist","Medium","Decrease","4"
"EMP1928","Data Scientist","Medium","Decrease","5"
"EMP1947","Data Scientist","Medium","Decrease","3"
"EMP1948","Project Manager","Medium","Decrease","5"
"EMP1950","Project Manager","Medium","Decrease","3"
"EMP1983","Designer","Medium","Decrease","4"
"EMP1988","Data Scientist","Medium","Decrease","3"
"EMP2002","HR","Medium","Decrease","4"
"EMP2036","HR","Medium","Decrease","5"
"EMP2044","Software Engineer","Medium","Decrease","3"
"EMP2053","HR","Medium","Decrease","5"
"EMP2062","Data Scientist","Medium","Decrease","4"
"EMP2094","Sales","Medium","Decrease","4"
"EMP2112","Software Engineer","Medium","Decrease","4"
"EMP2145","Project Manager","Medium","Decrease","5"
"EMP2177","Project Manager","Medium","Decrease","3"
"EMP2191","Sales","Medium","Decrease","5"
"EMP2199","Project Manager","Medium","Decrease","4"
"EMP2208","Designer","Medium","Decrease","3"
"EMP2221","Sales","Medium","Decrease","5"
"EMP2245","HR","Medium","Decrease","5"
"EMP2251","Designer","Medium","Decrease","5"
"EMP2257","Software Engineer","Medium","Decrease","4"
"EMP2270","Marketing","Medium","Decrease","3"
"EMP2330","Data Scientist","Medium","Decrease","3"
"EMP2342","Project Manager","Medium","Decrease","3"
"EMP2344","Software Engineer","Medium","Decrease","4"
"EMP2345","Project Manager","Medium","Decrease","4"
"EMP2360","Designer","Medium","Decrease","3"
"EMP2375","Sales","Medium","Decrease","3"
"EMP2381","HR","Medium","Decrease","3"
"EMP2399","HR","Medium","Decrease","5"
"EMP2417","Designer","Medium","Decrease","3"
"EMP2430","Sales","Medium","Decrease","4"
"EMP2460","Marketing","Medium","Decrease","3"
"EMP2492","Marketing","Medium","Decrease","4"
"EMP2493","HR","Medium","Decrease","4"
"EMP2503","HR","Medium","Decrease","4"
"EMP2536","Software Engineer","Medium","Decrease","3"
"EMP2548","Sales","Medium","Decrease","3"
"EMP2549","Designer","Medium","Decrease","3"
"EMP2611","Marketing","Medium","Decrease","3"
"EMP2672","HR","Medium","Decrease","5"
"EMP2683","Data Scientist","Medium","Decrease","5"
"EMP2684","Software Engineer","Medium","Decrease","3"
"EMP2685","Designer","Medium","Decrease","5"
"EMP2687","Software Engineer","Medium","Decrease","5"
"EMP2696","HR","Medium","Decrease","3"
"EMP2705","Software Engineer","Medium","Decrease","5"
"EMP2707","HR","Medium","Decrease","4"
"EMP2732","Project Manager","Medium","Decrease","3"
"EMP2774","Sales","Medium","Decrease","5"
"EMP2776","HR","Medium","Decrease","5"
"EMP2799","Project Manager","Medium","Decrease","5"
"EMP2825","Designer","Medium","Decrease","5"
"EMP2835","HR","Medium","Decrease","3"
"EMP2840","Software Engineer","Medium","Decrease","5"
"EMP2851","Marketing","Medium","Decrease","3"
"EMP2880","Data Scientist","Medium","Decrease","5"
"EMP2896","Marketing","Medium","Decrease","4"
"EMP2909","Marketing","Medium","Decrease","4"
"EMP2923","Software Engineer","Medium","Decrease","5"
"EMP2927","Marketing","Medium","Decrease","4"
"EMP2930","Designer","Medium","Decrease","4"
"EMP2932","Software Engineer","Medium","Decrease","4"
"EMP2936","Project Manager","Medium","Decrease","5"
"EMP2947","Sales","Medium","Decrease","3"
"EMP2960","Designer","Medium","Decrease","5"
"EMP2968","Designer","Medium","Decrease","3"
"EMP2978","Marketing","Medium","Decrease","5"
"EMP3007","HR","Medium","Decrease","5"
"EMP3010","Designer","Medium","Decrease","5"
"EMP3019","Designer","Medium","Decrease","3"
"EMP3040","Project Manager","Medium","Decrease","4"
"EMP3050","Marketing","Medium","Decrease","4"
"EMP3055","Marketing","Medium","Decrease","5"
"EMP3061","HR","Medium","Decrease","5"
"EMP3084","HR","Medium","Decrease","5"
"EMP3116","Data Scientist","Medium","Decrease","3"
"EMP3168","Designer","Medium","Decrease","3"
"EMP3187","Project Manager","Medium","Decrease","5"
"EMP3205","Software Engineer","Medium","Decrease","4"
"EMP3231","Designer","Medium","Decrease","4"
"EMP3233","Software Engineer","Medium","Decrease","4"
"EMP3235","Marketing","Medium","Decrease","3"
"EMP3238","Project Manager","Medium","Decrease","3"
"EMP3268","HR","Medium","Decrease","4"
"EMP3366","Designer","Medium","Decrease","5"
"EMP3367","Project Manager","Medium","Decrease","3"
"EMP3380","Data Scientist","Medium","Decrease","3"
"EMP3390","HR","Medium","Decrease","3"
"EMP3393","Marketing","Medium","Decrease","3"
"EMP3413","Sales","Medium","Decrease","5"
"EMP3422","Designer","Medium","Decrease","4"
"EMP3425","Designer","Medium","Decrease","4"
"EMP3455","Data Scientist","Medium","Decrease","3"
"EMP3462","Sales","Medium","Decrease","5"
"EMP3475","Designer","Medium","Decrease","3"
"EMP3498","HR","Medium","Decrease","3"
"EMP3500","Designer","Medium","Decrease","3"
"EMP3543","Project Manager","Medium","Decrease","5"
"EMP3545","HR","Medium","Decrease","5"
"EMP3554","Sales","Medium","Decrease","4"
"EMP3617","Project Manager","Medium","Decrease","3"
"EMP3626","Designer","Medium","Decrease","5"
"EMP3663","Designer","Medium","Decrease","5"
"EMP3688","Designer","Medium","Decrease","4"
"EMP3691","Marketing","Medium","Decrease","3"
"EMP3700","Project Manager","Medium","Decrease","3"
"EMP3706","HR","Medium","Decrease","4"
"EMP3730","Data Scientist","Medium","Decrease","5"
"EMP3739","HR","Medium","Decrease","5"
"EMP3741","Marketing","Medium","Decrease","5"
"EMP3754","Marketing","Medium","Decrease","5"
"EMP3755","Project Manager","Medium","Decrease","5"
"EMP3768","Sales","Medium","Decrease","3"
"EMP3795","Sales","Medium","Decrease","4"
"EMP3798","Designer","Medium","Decrease","3"
"EMP3804","Sales","Medium","Decrease","5"
"EMP3822","Designer","Medium","Decrease","5"
"EMP3836","Sales","Medium","Decrease","5"
"EMP3890","Data Scientist","Medium","Decrease","5"
"EMP3902","HR","Medium","Decrease","5"
"EMP3929","HR","Medium","Decrease","3"
"EMP3934","Project Manager","Medium","Decrease","3"
"EMP3947","Designer","Medium","Decrease","3"
"EMP3955","Software Engineer","Medium","Decrease","4"
"EMP3991","HR","Medium","Decrease","3"
"EMP4083","Marketing","Medium","Decrease","5"
"EMP4086","Project Manager","Medium","Decrease","5"
"EMP4107","Marketing","Medium","Decrease","5"
"EMP4124","Sales","Medium","Decrease","5"
"EMP4153","Sales","Medium","Decrease","4"
"EMP4157","Marketing","Medium","Decrease","4"
"EMP4160","Marketing","Medium","Decrease","3"
"EMP4167","Sales","Medium","Decrease","5"
"EMP4189","Software Engineer","Medium","Decrease","3"
"EMP4208","Designer","Medium","Decrease","4"
"EMP4236","Designer","Medium","Decrease","4"
"EMP4250","Software Engineer","Medium","Decrease","3"
"EMP4264","Marketing","Medium","Decrease","4"
"EMP4287","Marketing","Medium","Decrease","5"
"EMP4295","Marketing","Medium","Decrease","4"
"EMP4299","Software Engineer","Medium","Decrease","3"
"EMP4309","Project Manager","Medium","Decrease","4"
"EMP4330","Marketing","Medium","Decrease","3"
"EMP4336","Data Scientist","Medium","Decrease","4"
"EMP4343","Designer","Medium","Decrease","4"
"EMP4348","Sales","Medium","Decrease","5"
"EMP4355","Project Manager","Medium","Decrease","5"
"EMP4374","HR","Medium","Decrease","3"
"EMP4384","Project Manager","Medium","Decrease","3"
"EMP4390","HR","Medium","Decrease","4"
"EMP4394","Software Engineer","Medium","Decrease","3"
"EMP4397","Sales","Medium","Decrease","4"
"EMP4411","Software Engineer","Medium","Decrease","5"
"EMP4422","Data Scientist","Medium","Decrease","5"
"EMP4428","Data Scientist","Medium","Decrease","4"
"EMP4467","HR","Medium","Decrease","4"
"EMP4515","Data Scientist","Medium","Decrease","4"
"EMP4519","Sales","Medium","Decrease","3"
"EMP4551","Data Scientist","Medium","Decrease","5"
"EMP4554","Marketing","Medium","Decrease","4"
"EMP4557","Software Engineer","Medium","Decrease","5"
"EMP4581","Software Engineer","Medium","Decrease","3"
"EMP4618","Designer","Medium","Decrease","4"
"EMP4704","Sales","Medium","Decrease","3"
"EMP4708","Project Manager","Medium","Decrease","3"
"EMP4784","Sales","Medium","Decrease","4"
"EMP4802","Marketing","Medium","Decrease","5"
"EMP4807","Software Engineer","Medium","Decrease","4"
"EMP4815","Sales","Medium","Decrease","4"
"EMP4838","Project Manager","Medium","Decrease","5"
"EMP4855","Project Manager","Medium","Decrease","5"
"EMP4898","Software Engineer","Medium","Decrease","3"
"EMP4901","Marketing","Medium","Decrease","5"
"EMP4915","Sales","Medium","Decrease","4"
"EMP4952","HR","Medium","Decrease","3"
"EMP4985","Designer","Medium","Decrease","4"
"EMP0007","Sales","Low","Decrease","5"
"EMP0018","Data Scientist","Low","Decrease","5"
"EMP0037","Sales","Low","Decrease","5"
"EMP0052","Sales","Low","Decrease","4"
"EMP0105","Designer","Low","Decrease","4"
"EMP0112","HR","Low","Decrease","5"
"EMP0130","Sales","Low","Decrease","5"
"EMP0134","Marketing","Low","Decrease","4"
"EMP0140","Project Manager","Low","Decrease","5"
"EMP0142","Project Manager","Low","Decrease","5"
"EMP0156","Project Manager","Low","Decrease","4"
"EMP0175","HR","Low","Decrease","3"
"EMP0182","Marketing","Low","Decrease","4"
"EMP0191","Data Scientist","Low","Decrease","5"
"EMP0208","Designer","Low","Decrease","5"
"EMP0214","Project Manager","Low","Decrease","4"
"EMP0230","HR","Low","Decrease","3"
"EMP0232","Marketing","Low","Decrease","3"
"EMP0289","Designer","Low","Decrease","5"
"EMP0294","Designer","Low","Decrease","3"
"EMP0295","Marketing","Low","Decrease","5"
"EMP0299","Marketing","Low","Decrease","4"
"EMP0300","Data Scientist","Low","Decrease","3"
"EMP0307","Marketing","Low","Decrease","4"
"EMP0317","Marketing","Low","Decrease","3"
"EMP0323","Marketing","Low","Decrease","4"
"EMP0342","HR","Low","Decrease","5"
"EMP0409","Data Scientist","Low","Decrease","5"
"EMP0416","Sales","Low","Decrease","4"
"EMP0434","Designer","Low","Decrease","3"
"EMP0449","HR","Low","Decrease","4"
"EMP0455","Data Scientist","Low","Decrease","4"
"EMP0469","HR","Low","Decrease","4"
"EMP0501","Data Scientist","Low","Decrease","4"
"EMP0504","Sales","Low","Decrease","3"
"EMP0507","Sales","Low","Decrease","5"
"EMP0511","HR","Low","Decrease","3"
"EMP0521","HR","Low","Decrease","5"
"EMP0545","Software Engineer","Low","Decrease","3"
"EMP0555","Project Manager","Low","Decrease","5"
"EMP0558","Sales","Low","Decrease","5"
"EMP0580","HR","Low","Decrease","4"
"EMP0591","Project Manager","Low","Decrease","4"
"EMP0600","Software Engineer","Low","Decrease","4"
"EMP0601","Designer","Low","Decrease","3"
"EMP0607","Designer","Low","Decrease","3"
"EMP0626","Project Manager","Low","Decrease","3"
"EMP0648","Designer","Low","Decrease","3"
"EMP0649","Marketing","Low","Decrease","4"
"EMP0674","Sales","Low","Decrease","4"
"EMP0709","Designer","Low","Decrease","5"
"EMP0750","Sales","Low","Decrease","5"
"EMP0755","Designer","Low","Decrease","3"
"EMP0763","Marketing","Low","Decrease","4"
"EMP0786","HR","Low","Decrease","5"
"EMP0790","Data Scientist","Low","Decrease","5"
"EMP0800","Marketing","Low","Decrease","3"
"EMP0808","Designer","Low","Decrease","5"
"EMP0825","Sales","Low","Decrease","5"
"EMP0842","Designer","Low","Decrease","5"
"EMP0846","Project Manager","Low","Decrease","3"
"EMP0867","HR","Low","Decrease","4"
"EMP0870","Sales","Low","Decrease","3"
"EMP0876","Designer","Low","Decrease","4"
"EMP0889","Marketing","Low","Decrease","3"
"EMP0910","Software Engineer","Low","Decrease","3"
"EMP0949","Software Engineer","Low","Decrease","4"
"EMP0966","Project Manager","Low","Decrease","3"
"EMP0969","HR","Low","Decrease","3"
"EMP1009","Project Manager","Low","Decrease","3"
"EMP1016","Software Engineer","Low","Decrease","4"
"EMP1076","Designer","Low","Decrease","4"
"EMP1087","Project Manager","Low","Decrease","3"
"EMP1094","HR","Low","Decrease","5"
"EMP1109","HR","Low","Decrease","4"
"EMP1145","HR","Low","Decrease","4"
"EMP1188","Software Engineer","Low","Decrease","3"
"EMP1193","Marketing","Low","Decrease","4"
"EMP1207","Marketing","Low","Decrease","3"
"EMP1250","HR","Low","Decrease","5"
"EMP1275","Software Engineer","Low","Decrease","4"
"EMP1303","Sales","Low","Decrease","4"
"EMP1312","Designer","Low","Decrease","3"
"EMP1320","Software Engineer","Low","Decrease","3"
"EMP1331","Software Engineer","Low","Decrease","5"
"EMP1341","HR","Low","Decrease","3"
"EMP1359","Project Manager","Low","Decrease","3"
"EMP1385","HR","Low","Decrease","5"
"EMP1399","Data Scientist","Low","Decrease","4"
"EMP1400","HR","Low","Decrease","4"
"EMP1405","Marketing","Low","Decrease","3"
"EMP1406","Designer","Low","Decrease","4"
"EMP1412","Sales","Low","Decrease","4"
"EMP1431","Marketing","Low","Decrease","5"
"EMP1449","Sales","Low","Decrease","4"
"EMP1475","Sales","Low","Decrease","5"
"EMP1485","Project Manager","Low","Decrease","4"
"EMP1502","Software Engineer","Low","Decrease","5"
"EMP1503","Designer","Low","Decrease","4"
"EMP1526","Software Engineer","Low","Decrease","4"
"EMP1542","HR","Low","Decrease","4"
"EMP1543","Designer","Low","Decrease","5"
"EMP1562","Marketing","Low","Decrease","3"
"EMP1565","HR","Low","Decrease","5"
"EMP1597","Marketing","Low","Decrease","5"
"EMP1600","Project Manager","Low","Decrease","4"
"EMP1603","HR","Low","Decrease","5"
"EMP1608","Project Manager","Low","Decrease","4"
"EMP1616","Project Manager","Low","Decrease","4"
"EMP1622","Data Scientist","Low","Decrease","5"
"EMP1635","Software Engineer","Low","Decrease","5"
"EMP1659","HR","Low","Decrease","5"
"EMP1684","Software Engineer","Low","Decrease","4"
"EMP1695","Project Manager","Low","Decrease","3"
"EMP1713","Project Manager","Low","Decrease","3"
"EMP1735","Designer","Low","Decrease","5"
"EMP1744","Marketing","Low","Decrease","4"
"EMP1780","Sales","Low","Decrease","5"
"EMP1834","Marketing","Low","Decrease","5"
"EMP1845","Sales","Low","Decrease","4"
"EMP1850","Marketing","Low","Decrease","4"
"EMP1854","Software Engineer","Low","Decrease","3"
"EMP1892","Marketing","Low","Decrease","5"
"EMP1897","Sales","Low","Decrease","5"
"EMP1909","Data Scientist","Low","Decrease","4"
"EMP1916","HR","Low","Decrease","4"
"EMP1922","Data Scientist","Low","Decrease","3"
"EMP1939","Software Engineer","Low","Decrease","4"
"EMP1940","Data Scientist","Low","Decrease","5"
"EMP1942","Data Scientist","Low","Decrease","3"
"EMP1951","Designer","Low","Decrease","4"
"EMP1982","Marketing","Low","Decrease","5"
"EMP1992","Sales","Low","Decrease","3"
"EMP1993","Sales","Low","Decrease","4"
"EMP1996","Sales","Low","Decrease","5"
"EMP1998","Data Scientist","Low","Decrease","5"
"EMP2028","Sales","Low","Decrease","5"
"EMP2034","Designer","Low","Decrease","4"
"EMP2067","HR","Low","Decrease","5"
"EMP2069","Designer","Low","Decrease","4"
"EMP2081","HR","Low","Decrease","3"
"EMP2084","Project Manager","Low","Decrease","3"
"EMP2086","Software Engineer","Low","Decrease","5"
"EMP2095","Sales","Low","Decrease","4"
"EMP2099","Designer","Low","Decrease","3"
"EMP2107","HR","Low","Decrease","5"
"EMP2151","Data Scientist","Low","Decrease","5"
"EMP2154","Marketing","Low","Decrease","4"
"EMP2165","HR","Low","Decrease","3"
"EMP2183","Sales","Low","Decrease","5"
"EMP2187","Project Manager","Low","Decrease","4"
"EMP2192","Marketing","Low","Decrease","5"
"EMP2206","Designer","Low","Decrease","4"
"EMP2233","Data Scientist","Low","Decrease","4"
"EMP2246","Software Engineer","Low","Decrease","4"
"EMP2261","Designer","Low","Decrease","5"
"EMP2277","Sales","Low","Decrease","3"
"EMP2286","Sales","Low","Decrease","5"
"EMP2304","Designer","Low","Decrease","5"
"EMP2309","Data Scientist","Low","Decrease","4"
"EMP2310","Project Manager","Low","Decrease","3"
"EMP2321","Sales","Low","Decrease","5"
"EMP2331","Designer","Low","Decrease","3"
"EMP2339","Software Engineer","Low","Decrease","3"
"EMP2355","HR","Low","Decrease","3"
"EMP2356","Marketing","Low","Decrease","3"
"EMP2358","Software Engineer","Low","Decrease","3"
"EMP2361","HR","Low","Decrease","3"
"EMP2364","Project Manager","Low","Decrease","3"
"EMP2383","Software Engineer","Low","Decrease","4"
"EMP2435","Designer","Low","Decrease","4"
"EMP2459","Marketing","Low","Decrease","3"
"EMP2481","Software Engineer","Low","Decrease","5"
"EMP2482","HR","Low","Decrease","5"
"EMP2490","Sales","Low","Decrease","5"
"EMP2519","HR","Low","Decrease","5"
"EMP2526","Software Engineer","Low","Decrease","5"
"EMP2542","Designer","Low","Decrease","5"
"EMP2554","HR","Low","Decrease","3"
"EMP2581","Marketing","Low","Decrease","3"
"EMP2586","Data Scientist","Low","Decrease","5"
"EMP2605","Sales","Low","Decrease","3"
"EMP2614","Data Scientist","Low","Decrease","3"
"EMP2619","Sales","Low","Decrease","4"
"EMP2652","Designer","Low","Decrease","4"
"EMP2659","Data Scientist","Low","Decrease","3"
"EMP2661","Designer","Low","Decrease","3"
"EMP2671","Sales","Low","Decrease","4"
"EMP2680","Data Scientist","Low","Decrease","4"
"EMP2695","HR","Low","Decrease","4"
"EMP2699","HR","Low","Decrease","5"
"EMP2742","Project Manager","Low","Decrease","3"
"EMP2765","Designer","Low","Decrease","4"
"EMP2770","Marketing","Low","Decrease","5"
