"Employee_ID","Gender","Work_Location","Access_to_Mental_Health_Resources"
"EMP0005","Male","Onsite","Yes"
"EMP0009","Prefer not to say","Hybrid","Yes"
"EMP0011","Non-binary","Remote","Yes"
"EMP0013","Female","Remote","Yes"
"EMP0015","Prefer not to say","Remote","Yes"
"EMP0027","Non-binary","Onsite","No"
"EMP0029","Prefer not to say","Onsite","Yes"
"EMP0041","Non-binary","Remote","No"
"EMP0048","Female","Remote","No"
"EMP0051","Non-binary","Onsite","Yes"
"EMP0068","Female","Remote","Yes"
"EMP0069","Female","Onsite","Yes"
"EMP0074","Non-binary","Hybrid","Yes"
"EMP0081","Female","Hybrid","No"
"EMP0092","Female","Onsite","No"
"EMP0094","Non-binary","Remote","Yes"
"EMP0095","Non-binary","Onsite","No"
"EMP0097","Male","Hybrid","No"
"EMP0108","Prefer not to say","Hybrid","No"
"EMP0121","Prefer not to say","Onsite","No"
"EMP0128","Female","Remote","Yes"
"EMP0141","Non-binary","Onsite","Yes"
"EMP0149","Female","Onsite","Yes"
"EMP0151","Female","Remote","Yes"
"EMP0157","Prefer not to say","Hybrid","No"
"EMP0199","Male","Remote","Yes"
"EMP0200","Female","Remote","No"
"EMP0209","Male","Remote","Yes"
"EMP0224","Non-binary","Hybrid","Yes"
"EMP0244","Prefer not to say","Remote","No"
"EMP0274","Non-binary","Hybrid","No"
"EMP0277","Female","Remote","No"
"EMP0288","Prefer not to say","Hybrid","Yes"
"EMP0291","Male","Hybrid","No"
"EMP0292","Prefer not to say","Hybrid","Yes"
"EMP0314","Male","Onsite","Yes"
"EMP0325","Female","Hybrid","No"
"EMP0337","Female","Onsite","Yes"
"EMP0346","Female","Remote","No"
"EMP0351","Prefer not to say","Remote","Yes"
"EMP0380","Male","Remote","No"
"EMP0388","Female","Hybrid","No"
"EMP0400","Prefer not to say","Remote","Yes"
"EMP0407","Prefer not to say","Onsite","Yes"
"EMP0423","Male","Hybrid","No"
"EMP0433","Non-binary","Hybrid","Yes"
"EMP0435","Female","Onsite","Yes"
"EMP0443","Non-binary","Hybrid","Yes"
"EMP0450","Male","Hybrid","Yes"
"EMP0463","Prefer not to say","Remote","No"
"EMP0466","Prefer not to say","Onsite","No"
"EMP0472","Female","Remote","No"
"EMP0478","Female","Remote","No"
"EMP0481","Female","Hybrid","No"
"EMP0494","Male","Remote","Yes"
"EMP0512","Male","Hybrid","Yes"
"EMP0520","Prefer not to say","Hybrid","Yes"
"EMP0532","Male","Hybrid","Yes"
"EMP0535","Non-binary","Hybrid","Yes"
"EMP0550","Male","Onsite","Yes"
"EMP0552","Male","Hybrid","No"
"EMP0553","Non-binary","Onsite","Yes"
"EMP0556","Non-binary","Remote","No"
"EMP0564","Prefer not to say","Remote","Yes"
"EMP0566","Male","Onsite","No"
"EMP0568","Prefer not to say","Hybrid","Yes"
"EMP0594","Prefer not to say","Remote","Yes"
"EMP0602","Non-binary","Onsite","No"
"EMP0604","Female","Hybrid","Yes"
"EMP0605","Female","Hybrid","No"
"EMP0611","Prefer not to say","Hybrid","Yes"
"EMP0618","Male","Remote","No"
"EMP0620","Prefer not to say","Onsite","No"
"EMP0621","Non-binary","Hybrid","No"
"EMP0639","Non-binary","Hybrid","Yes"
"EMP0656","Male","Remote","Yes"
"EMP0660","Non-binary","Onsite","Yes"
"EMP0665","Prefer not to say","Onsite","Yes"
"EMP0677","Female","Remote","No"
"EMP0698","Female","Hybrid","No"
"EMP0710","Female","Onsite","Yes"
"EMP0719","Male","Onsite","Yes"
"EMP0725","Prefer not to say","Hybrid","Yes"
"EMP0734","Female","Onsite","Yes"
"EMP0742","Female","Remote","No"
"EMP0749","Female","Remote","Yes"
"EMP0754","Female","Remote","No"
"EMP0762","Male","Hybrid","Yes"
"EMP0781","Non-binary","Hybrid","Yes"
"EMP0785","Prefer not to say","Remote","No"
"EMP0788","Non-binary","Remote","Yes"
"EMP0794","Male","Remote","No"
"EMP0799","Male","Onsite","Yes"
"EMP0821","Prefer not to say","Remote","No"
"EMP0833","Male","Remote","Yes"
"EMP0840","Prefer not to say","Onsite","Yes"
"EMP0843","Prefer not to say","Remote","Yes"
"EMP0844","Prefer not to say","Onsite","Yes"
"EMP0849","Non-binary","Onsite","Yes"
"EMP0872","Non-binary","Onsite","Yes"
"EMP0880","Female","Onsite","No"
"EMP0905","Non-binary","Hybrid","No"
"EMP0918","Female","Hybrid","No"
"EMP0924","Female","Hybrid","Yes"
"EMP0927","Prefer not to say","Remote","Yes"
"EMP0939","Non-binary","Remote","Yes"
"EMP0941","Non-binary","Onsite","Yes"
"EMP0959","Prefer not to say","Hybrid","Yes"
"EMP0967","Non-binary","Remote","No"
"EMP0974","Female","Remote","No"
"EMP0981","Non-binary","Onsite","Yes"
"EMP0982","Female","Hybrid","Yes"
"EMP1003","Female","Hybrid","No"
"EMP1006","Female","Onsite","Yes"
"EMP1010","Female","Hybrid","Yes"
"EMP1028","Non-binary","Remote","No"
"EMP1034","Prefer not to say","Hybrid","Yes"
"EMP1051","Non-binary","Onsite","No"
"EMP1056","Female","Remote","No"
"EMP1077","Male","Onsite","No"
"EMP1085","Male","Hybrid","Yes"
"EMP1089","Prefer not to say","Onsite","No"
"EMP1090","Non-binary","Remote","No"
"EMP1100","Female","Remote","Yes"
"EMP1101","Prefer not to say","Remote","No"
"EMP1106","Male","Remote","No"
"EMP1110","Non-binary","Hybrid","No"
"EMP1118","Non-binary","Remote","Yes"
"EMP1142","Prefer not to say","Hybrid","No"
"EMP1162","Male","Onsite","No"
"EMP1182","Prefer not to say","Remote","No"
"EMP1186","Non-binary","Remote","Yes"
"EMP1194","Non-binary","Hybrid","No"
"EMP1195","Female","Hybrid","Yes"
"EMP1196","Prefer not to say","Remote","No"
"EMP1210","Prefer not to say","Hybrid","Yes"
"EMP1214","Female","Remote","Yes"
"EMP1227","Male","Hybrid","Yes"
"EMP1237","Non-binary","Remote","Yes"
"EMP1245","Prefer not to say","Onsite","Yes"
"EMP1252","Male","Onsite","Yes"
"EMP1256","Prefer not to say","Hybrid","Yes"
"EMP1258","Female","Hybrid","No"
"EMP1266","Prefer not to say","Remote","No"
"EMP1271","Male","Remote","No"
"EMP1286","Female","Remote","Yes"
"EMP1287","Female","Hybrid","No"
"EMP1289","Prefer not to say","Remote","No"
"EMP1297","Male","Onsite","No"
"EMP1325","Non-binary","Onsite","Yes"
"EMP1326","Male","Remote","Yes"
"EMP1333","Non-binary","Remote","Yes"
"EMP1342","Non-binary","Onsite","No"
"EMP1357","Non-binary","Onsite","Yes"
"EMP1366","Prefer not to say","Hybrid","No"
"EMP1374","Prefer not to say","Remote","Yes"
"EMP1382","Prefer not to say","Onsite","Yes"
"EMP1388","Male","Onsite","Yes"
"EMP1394","Prefer not to say","Onsite","No"
"EMP1403","Female","Hybrid","Yes"
"EMP1407","Female","Remote","No"
"EMP1411","Non-binary","Remote","No"
"EMP1445","Non-binary","Remote","Yes"
"EMP1486","Male","Onsite","Yes"
"EMP1492","Male","Remote","Yes"
"EMP1493","Prefer not to say","Onsite","No"
"EMP1501","Female","Onsite","No"
"EMP1521","Prefer not to say","Onsite","No"
"EMP1523","Non-binary","Remote","No"
"EMP1524","Non-binary","Onsite","No"
"EMP1535","Non-binary","Hybrid","Yes"
"EMP1547","Female","Hybrid","No"
"EMP1548","Prefer not to say","Onsite","No"
"EMP1552","Non-binary","Onsite","Yes"
"EMP1566","Male","Onsite","No"
"EMP1571","Non-binary","Hybrid","Yes"
"EMP1572","Non-binary","Onsite","Yes"
"EMP1578","Prefer not to say","Hybrid","No"
"EMP1579","Prefer not to say","Remote","Yes"
"EMP1582","Non-binary","Remote","No"
"EMP1592","Male","Onsite","No"
"EMP1617","Male","Hybrid","No"
"EMP1621","Male","Remote","Yes"
"EMP1624","Female","Hybrid","Yes"
"EMP1629","Male","Hybrid","Yes"
"EMP1632","Male","Onsite","Yes"
"EMP1642","Prefer not to say","Remote","Yes"
"EMP1655","Prefer not to say","Remote","No"
"EMP1656","Non-binary","Onsite","No"
"EMP1661","Female","Hybrid","No"
"EMP1680","Female","Hybrid","Yes"
"EMP1685","Male","Onsite","Yes"
"EMP1687","Female","Onsite","No"
"EMP1696","Prefer not to say","Remote","No"
"EMP1706","Non-binary","Remote","Yes"
"EMP1707","Female","Hybrid","Yes"
"EMP1715","Female","Hybrid","Yes"
"EMP1726","Prefer not to say","Hybrid","No"
"EMP1729","Non-binary","Remote","No"
"EMP1730","Prefer not to say","Hybrid","No"
"EMP1746","Female","Hybrid","No"
"EMP1752","Non-binary","Onsite","No"
"EMP1772","Non-binary","Hybrid","Yes"
"EMP1783","Female","Hybrid","No"
"EMP1785","Prefer not to say","Remote","Yes"
"EMP1793","Female","Remote","Yes"
"EMP1817","Male","Hybrid","Yes"
"EMP1819","Female","Hybrid","No"
"EMP1823","Non-binary","Remote","No"
"EMP1825","Female","Remote","Yes"
"EMP1847","Prefer not to say","Remote","Yes"
"EMP1848","Male","Remote","No"
"EMP1867","Female","Hybrid","No"
"EMP1875","Male","Onsite","No"
"EMP1880","Prefer not to say","Hybrid","No"
"EMP1885","Male","Hybrid","Yes"
"EMP1891","Prefer not to say","Onsite","Yes"
"EMP1902","Non-binary","Hybrid","No"
"EMP1908","Male","Onsite","No"
"EMP1921","Prefer not to say","Hybrid","Yes"
"EMP1937","Male","Hybrid","No"
"EMP1962","Male","Onsite","Yes"
"EMP1985","Prefer not to say","Hybrid","No"
"EMP1987","Female","Onsite","No"
"EMP2000","Male","Remote","No"
"EMP2007","Male","Remote","No"
"EMP2009","Female","Remote","Yes"
"EMP2010","Male","Onsite","Yes"
"EMP2022","Female","Onsite","Yes"
"EMP2025","Prefer not to say","Onsite","No"
"EMP2048","Female","Onsite","No"
"EMP2064","Non-binary","Onsite","Yes"
"EMP2065","Non-binary","Hybrid","Yes"
"EMP2066","Non-binary","Remote","No"
"EMP2098","Non-binary","Onsite","No"
"EMP2104","Prefer not to say","Remote","Yes"
"EMP2110","Non-binary","Onsite","No"
"EMP2128","Non-binary","Onsite","Yes"
"EMP2130","Female","Remote","No"
"EMP2138","Non-binary","Hybrid","No"
"EMP2144","Female","Hybrid","Yes"
"EMP2146","Non-binary","Onsite","Yes"
"EMP2147","Prefer not to say","Hybrid","No"
"EMP2148","Female","Hybrid","Yes"
"EMP2149","Non-binary","Remote","Yes"
"EMP2156","Prefer not to say","Remote","Yes"
"EMP2167","Non-binary","Remote","No"
"EMP2176","Non-binary","Onsite","No"
"EMP2180","Male","Hybrid","Yes"
"EMP2190","Female","Onsite","No"
"EMP2223","Prefer not to say","Remote","Yes"
"EMP2247","Prefer not to say","Onsite","Yes"
"EMP2248","Male","Onsite","No"
"EMP2256","Non-binary","Remote","Yes"
"EMP2262","Non-binary","Onsite","No"
"EMP2274","Non-binary","Hybrid","Yes"
"EMP2278","Male","Onsite","Yes"
"EMP2285","Female","Remote","No"
"EMP2302","Prefer not to say","Onsite","No"
"EMP2307","Male","Remote","No"
"EMP2320","Male","Hybrid","No"
"EMP2326","Prefer not to say","Onsite","No"
"EMP2327","Prefer not to say","Onsite","Yes"
"EMP2335","Non-binary","Remote","Yes"
"EMP2337","Prefer not to say","Onsite","No"
"EMP2347","Prefer not to say","Hybrid","Yes"
"EMP2374","Female","Hybrid","Yes"
"EMP2379","Non-binary","Remote","Yes"
"EMP2382","Male","Remote","No"
"EMP2395","Female","Remote","No"
"EMP2408","Non-binary","Remote","Yes"
"EMP2412","Non-binary","Remote","No"
"EMP2418","Non-binary","Onsite","Yes"
"EMP2425","Female","Remote","No"
"EMP2443","Prefer not to say","Remote","No"
"EMP2444","Male","Remote","No"
"EMP2448","Non-binary","Remote","No"
"EMP2449","Female","Remote","No"
"EMP2451","Prefer not to say","Hybrid","No"
"EMP2454","Female","Hybrid","No"
"EMP2456","Male","Onsite","Yes"
"EMP2462","Male","Remote","No"
"EMP2465","Female","Remote","Yes"
"EMP2478","Male","Hybrid","No"
"EMP2513","Male","Hybrid","Yes"
"EMP2514","Female","Remote","No"
"EMP2532","Prefer not to say","Hybrid","No"
"EMP2546","Non-binary","Onsite","No"
"EMP2561","Female","Onsite","Yes"
"EMP2563","Prefer not to say","Onsite","Yes"
"EMP2565","Non-binary","Remote","Yes"
"EMP2567","Prefer not to say","Remote","Yes"
"EMP2574","Prefer not to say","Remote","Yes"
"EMP2593","Non-binary","Remote","Yes"
"EMP2601","Female","Remote","No"
"EMP2621","Female","Hybrid","No"
"EMP2623","Non-binary","Remote","Yes"
"EMP2632","Non-binary","Hybrid","Yes"
"EMP2645","Male","Onsite","Yes"
"EMP2646","Prefer not to say","Remote","No"
"EMP2648","Prefer not to say","Hybrid","Yes"
"EMP2667","Male","Remote","Yes"
"EMP2682","Male","Remote","Yes"
"EMP2689","Female","Onsite","Yes"
"EMP2709","Prefer not to say","Hybrid","Yes"
"EMP2711","Female","Remote","No"
"EMP2735","Male","Onsite","Yes"
"EMP2739","Male","Remote","Yes"
"EMP2757","Prefer not to say","Hybrid","Yes"
"EMP2763","Non-binary","Hybrid","Yes"
"EMP2786","Female","Hybrid","Yes"
"EMP2816","Male","Onsite","No"
"EMP2818","Male","Hybrid","Yes"
"EMP2826","Non-binary","Onsite","Yes"
"EMP2830","Non-binary","Onsite","No"
"EMP2865","Male","Remote","No"
"EMP2883","Female","Onsite","Yes"
"EMP2890","Female","Remote","Yes"
"EMP2891","Prefer not to say","Hybrid","Yes"
"EMP2892","Female","Remote","No"
"EMP2901","Female","Hybrid","No"
"EMP2904","Female","Onsite","Yes"
"EMP2906","Male","Onsite","No"
"EMP2908","Female","Hybrid","Yes"
"EMP2921","Male","Hybrid","No"
"EMP2938","Prefer not to say","Remote","No"
"EMP2939","Prefer not to say","Onsite","Yes"
"EMP2951","Prefer not to say","Remote","No"
"EMP2953","Female","Onsite","Yes"
"EMP2955","Female","Remote","Yes"
"EMP2957","Male","Onsite","No"
"EMP2966","Prefer not to say","Onsite","No"
"EMP2970","Non-binary","Hybrid","No"
"EMP2976","Male","Hybrid","Yes"
"EMP2984","Female","Hybrid","Yes"
"EMP2994","Non-binary","Remote","Yes"
"EMP2996","Male","Hybrid","No"
"EMP3029","Non-binary","Remote","No"
"EMP3030","Male","Hybrid","Yes"
"EMP3041","Female","Remote","Yes"
"EMP3045","Female","Onsite","No"
"EMP3051","Non-binary","Hybrid","No"
"EMP3059","Male","Remote","Yes"
"EMP3065","Male","Hybrid","Yes"
"EMP3066","Male","Onsite","Yes"
"EMP3072","Prefer not to say","Onsite","Yes"
"EMP3081","Female","Remote","No"
"EMP3083","Male","Hybrid","Yes"
"EMP3094","Non-binary","Hybrid","Yes"
"EMP3099","Male","Remote","No"
"EMP3101","Female","Onsite","No"
"EMP3103","Female","Remote","No"
"EMP3124","Prefer not to say","Remote","No"
"EMP3135","Male","Remote","Yes"
"EMP3137","Non-binary","Onsite","Yes"
"EMP3140","Male","Onsite","No"
"EMP3152","Female","Onsite","No"
"EMP3165","Male","Onsite","Yes"
"EMP3191","Female","Onsite","No"
"EMP3194","Prefer not to say","Hybrid","Yes"
"EMP3201","Male","Hybrid","Yes"
"EMP3209","Prefer not to say","Remote","No"
"EMP3219","Non-binary","Hybrid","Yes"
"EMP3223","Prefer not to say","Hybrid","Yes"
"EMP3224","Male","Onsite","No"
"EMP3227","Male","Hybrid","No"
"EMP3230","Male","Remote","Yes"
"EMP3234","Non-binary","Onsite","Yes"
"EMP3247","Prefer not to say","Remote","No"
"EMP3254","Female","Hybrid","No"
"EMP3257","Female","Remote","Yes"
"EMP3259","Non-binary","Onsite","No"
"EMP3264","Non-binary","Hybrid","Yes"
"EMP3275","Female","Onsite","Yes"
"EMP3289","Prefer not to say","Hybrid","Yes"
"EMP3296","Female","Hybrid","No"
"EMP3305","Female","Remote","No"
"EMP3311","Female","Hybrid","Yes"
"EMP3313","Non-binary","Onsite","Yes"
"EMP3314","Female","Hybrid","No"
"EMP3342","Female","Remote","No"
"EMP3345","Female","Onsite","No"
"EMP3352","Female","Onsite","Yes"
"EMP3356","Non-binary","Onsite","No"
"EMP3361","Male","Onsite","Yes"
"EMP3362","Male","Hybrid","Yes"
"EMP3363","Female","Onsite","No"
"EMP3379","Prefer not to say","Hybrid","No"
"EMP3384","Prefer not to say","Hybrid","Yes"
"EMP3404","Female","Hybrid","Yes"
"EMP3444","Female","Remote","Yes"
"EMP3446","Male","Remote","Yes"
"EMP3457","Prefer not to say","Remote","Yes"
"EMP3461","Female","Hybrid","Yes"
"EMP3479","Male","Hybrid","Yes"
"EMP3482","Female","Onsite","Yes"
"EMP3495","Prefer not to say","Remote","Yes"
"EMP3497","Prefer not to say","Remote","No"
"EMP3499","Female","Remote","Yes"
"EMP3514","Prefer not to say","Hybrid","Yes"
"EMP3542","Female","Hybrid","Yes"
"EMP3546","Male","Hybrid","No"
"EMP3558","Prefer not to say","Remote","No"
"EMP3559","Prefer not to say","Remote","Yes"
"EMP3562","Female","Hybrid","No"
"EMP3585","Prefer not to say","Remote","No"
"EMP3591","Non-binary","Hybrid","No"
"EMP3592","Prefer not to say","Remote","Yes"
"EMP3594","Male","Onsite","No"
"EMP3598","Non-binary","Onsite","Yes"
"EMP3600","Prefer not to say","Hybrid","No"
"EMP3610","Female","Onsite","No"
"EMP3615","Prefer not to say","Hybrid","Yes"
"EMP3618","Prefer not to say","Remote","Yes"
"EMP3620","Male","Remote","No"
"EMP3622","Male","Remote","Yes"
"EMP3634","Female","Hybrid","Yes"
"EMP3644","Female","Onsite","Yes"
"EMP3665","Prefer not to say","Remote","Yes"
"EMP3666","Female","Hybrid","Yes"
"EMP3677","Non-binary","Hybrid","Yes"
"EMP3682","Female","Remote","Yes"
"EMP3683","Female","Remote","Yes"
"EMP3686","Male","Onsite","No"
"EMP3708","Male","Remote","No"
"EMP3709","Male","Remote","No"
"EMP3729","Prefer not to say","Hybrid","No"
"EMP3742","Prefer not to say","Remote","Yes"
"EMP3752","Female","Onsite","No"
"EMP3758","Female","Onsite","Yes"
"EMP3773","Non-binary","Hybrid","No"
"EMP3779","Male","Remote","Yes"
"EMP3782","Female","Onsite","No"
"EMP3789","Non-binary","Hybrid","No"
"EMP3797","Prefer not to say","Remote","No"
"EMP3806","Non-binary","Remote","No"
"EMP3807","Female","Hybrid","No"
"EMP3810","Non-binary","Remote","Yes"
"EMP3813","Non-binary","Onsite","No"
"EMP3824","Female","Onsite","No"
"EMP3825","Non-binary","Remote","No"
"EMP3832","Prefer not to say","Remote","Yes"
"EMP3842","Prefer not to say","Onsite","No"
"EMP3844","Female","Remote","No"
"EMP3845","Female","Onsite","No"
"EMP3852","Non-binary","Onsite","No"
"EMP3865","Female","Hybrid","Yes"
"EMP3881","Female","Onsite","No"
"EMP3883","Prefer not to say","Remote","No"
"EMP3886","Female","Hybrid","No"
"EMP3899","Non-binary","Hybrid","No"
"EMP3900","Non-binary","Hybrid","Yes"
"EMP3904","Non-binary","Hybrid","Yes"
"EMP3907","Non-binary","Hybrid","No"
"EMP3908","Female","Remote","Yes"
"EMP3920","Non-binary","Onsite","No"
"EMP3933","Male","Onsite","Yes"
"EMP3938","Non-binary","Remote","Yes"
"EMP3965","Female","Onsite","No"
"EMP3966","Prefer not to say","Remote","No"
"EMP3968","Prefer not to say","Remote","Yes"
"EMP3973","Non-binary","Remote","No"
"EMP3983","Non-binary","Onsite","No"
"EMP3995","Male","Remote","Yes"
"EMP3996","Male","Hybrid","No"
"EMP4003","Female","Hybrid","Yes"
"EMP4011","Prefer not to say","Onsite","Yes"
"EMP4017","Female","Remote","No"
"EMP4018","Male","Remote","No"
"EMP4037","Female","Hybrid","Yes"
"EMP4052","Male","Hybrid","No"
"EMP4067","Female","Onsite","Yes"
"EMP4071","Prefer not to say","Onsite","Yes"
"EMP4073","Non-binary","Hybrid","No"
"EMP4079","Male","Hybrid","No"
"EMP4102","Prefer not to say","Onsite","No"
"EMP4121","Male","Onsite","No"
"EMP4128","Non-binary","Remote","No"
"EMP4131","Male","Onsite","Yes"
"EMP4165","Prefer not to say","Hybrid","No"
"EMP4169","Non-binary","Onsite","Yes"
"EMP4184","Male","Onsite","Yes"
"EMP4186","Male","Remote","No"
"EMP4188","Prefer not to say","Onsite","No"
"EMP4195","Female","Remote","Yes"
"EMP4206","Male","Remote","No"
"EMP4209","Prefer not to say","Remote","Yes"
"EMP4216","Non-binary","Hybrid","Yes"
"EMP4220","Prefer not to say","Hybrid","No"
"EMP4224","Non-binary","Onsite","Yes"
"EMP4238","Non-binary","Hybrid","No"
"EMP4247","Female","Remote","Yes"
"EMP4249","Male","Onsite","Yes"
"EMP4254","Male","Hybrid","No"
"EMP4267","Male","Hybrid","Yes"
"EMP4279","Prefer not to say","Remote","Yes"
"EMP4281","Non-binary","Onsite","Yes"
"EMP4290","Male","Hybrid","Yes"
"EMP4298","Non-binary","Hybrid","Yes"
"EMP4307","Prefer not to say","Remote","No"
"EMP4308","Prefer not to say","Remote","No"
"EMP4322","Non-binary","Hybrid","No"
"EMP4323","Male","Hybrid","No"
"EMP4327","Female","Remote","No"
"EMP4328","Male","Hybrid","No"
"EMP4335","Non-binary","Hybrid","No"
"EMP4340","Female","Remote","Yes"
"EMP4349","Female","Remote","Yes"
"EMP4379","Prefer not to say","Remote","Yes"
"EMP4382","Non-binary","Remote","No"
"EMP4400","Male","Onsite","Yes"
"EMP4402","Prefer not to say","Remote","No"
"EMP4403","Male","Remote","Yes"
"EMP4407","Female","Remote","No"
"EMP4410","Male","Onsite","No"
"EMP4412","Prefer not to say","Onsite","No"
"EMP4416","Prefer not to say","Onsite","Yes"
"EMP4432","Female","Hybrid","Yes"
"EMP4437","Prefer not to say","Onsite","No"
"EMP4440","Non-binary","Onsite","Yes"
"EMP4457","Prefer not to say","Onsite","Yes"
"EMP4462","Male","Hybrid","Yes"
"EMP4492","Male","Hybrid","No"
"EMP4499","Prefer not to say","Remote","Yes"
"EMP4509","Prefer not to say","Remote","No"
"EMP4510","Male","Hybrid","No"
"EMP4512","Prefer not to say","Onsite","Yes"
"EMP4513","Prefer not to say","Hybrid","Yes"
"EMP4529","Female","Hybrid","Yes"
"EMP4531","Non-binary","Hybrid","No"
"EMP4539","Male","Hybrid","No"
"EMP4547","Prefer not to say","Onsite","Yes"
"EMP4556","Male","Remote","Yes"
"EMP4564","Non-binary","Hybrid","Yes"
"EMP4565","Non-binary","Remote","No"
"EMP4584","Non-binary","Remote","Yes"
"EMP4591","Prefer not to say","Hybrid","Yes"
"EMP4592","Female","Onsite","Yes"
"EMP4596","Female","Remote","Yes"
"EMP4601","Non-binary","Hybrid","No"
"EMP4608","Prefer not to say","Remote","No"
"EMP4611","Male","Remote","No"
"EMP4625","Prefer not to say","Remote","No"
"EMP4635","Non-binary","Remote","Yes"
"EMP4640","Prefer not to say","Hybrid","Yes"
"EMP4646","Prefer not to say","Onsite","Yes"
"EMP4651","Female","Onsite","Yes"
"EMP4666","Female","Remote","Yes"
"EMP4694","Non-binary","Hybrid","No"
"EMP4715","Male","Hybrid","Yes"
"EMP4726","Female","Remote","Yes"
"EMP4733","Non-binary","Remote","Yes"
"EMP4739","Male","Hybrid","Yes"
"EMP4750","Female","Onsite","Yes"
"EMP4769","Female","Remote","Yes"
"EMP4776","Non-binary","Onsite","No"
"EMP4804","Female","Hybrid","Yes"
"EMP4809","Male","Hybrid","Yes"
"EMP4843","Male","Hybrid","No"
"EMP4848","Non-binary","Remote","No"
"EMP4849","Prefer not to say","Onsite","No"
"EMP4850","Female","Remote","Yes"
"EMP4854","Male","Onsite","Yes"
"EMP4861","Prefer not to say","Onsite","Yes"
"EMP4873","Non-binary","Hybrid","Yes"
"EMP4874","Non-binary","Hybrid","No"
"EMP4881","Non-binary","Hybrid","Yes"
"EMP4899","Non-binary","Hybrid","No"
"EMP4904","Prefer not to say","Onsite","Yes"
"EMP4908","Prefer not to say","Hybrid","Yes"
"EMP4909","Prefer not to say","Remote","Yes"
"EMP4926","Male","Onsite","Yes"
"EMP4934","Prefer not to say","Remote","No"
"EMP4946","Prefer not to say","Remote","No"
"EMP4947","Female","Hybrid","No"
"EMP4959","Prefer not to say","Hybrid","No"
"EMP4996","Male","Onsite","Yes"
